"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,"Base Year",
"Samoa","862","Consumer Prices, end of period, percent change","PCPIE_PCH","Value","-1.7319963536921","0.185528756957328","0.370370370370369","2.25608856088561","1.01686749693899","5.78180647415848","-0.0868479265800994","-3.28167420536743","4.07950005792583","10.8519948024727","5.50000000000055","",
"Malaysia","548","Consumer Prices, end of period, percent change","PCPIE_PCH","Value","3.22274881516588","2.66299357208447","2.68336314847943","1.74216027874564","3.51027397260275","0.165425971877575","0.990916597853016","-1.39002452984465","3.23383084577115","3.77510040160642","2.88897656610063","",
"Indonesia","536","Consumer Prices, period average, percent change","PCPI_PCH","Value","6.41097050173777","6.39741214157845","6.36106027510479","3.52732217689341","3.80924297662449","3.29158596944268","2.82002350019614","2.03269494176669","1.56007975153043","4.20945602440267","4.38192767148615","",
"Palau","565","Consumer Prices, period average, percent change","PCPI_PCH","Value","2.84502469792454","3.96235585068702","2.19935426991609","-1.3364086832722","1.09963888512099","1.9537089499179","0.60906224671135","0.680805452063966","0.449965163803173","8.74749899959951","7.89999999999973","",
"Solomon Islands","813","Consumer Prices, period average, percent change","PCPI_PCH","Value","5.24948989055839","5.29608741628477","-0.569085279102893","0.496591196027307","0.50251256281407","3.47499999999999","1.63485544012274","2.96354992076006","-0.107742034784676","5.50716486902865","4.79796796381497","",
"Sri Lanka","524","Gross domestic product, constant prices, National Currency, percent change","NGDP_RPCH","Value","4.05174005841877","6.37798041976485","4.2059541513106","5.05364102164202","6.46067852628732","2.31006369286922","-0.220475953342601","-3.47229605075647","3.3267766027088","-8.658632757233","-3.04984013772193","",
"Nepal","558","Consumer Prices, period average, percent change","PCPI_PCH","Value","9.87298003313404","9.03912540248897","7.21240127996437","9.93192063796282","4.45401209769144","4.14652907795273","4.63920399119232","6.14953320814495","3.59891850522921","6.25452457294125","7.77136323073614","",
"Cambodia","522","Balance of Payments, Current Account, Total, Net(BPM6), percent of GDP in U.S. dollars","BCA_GDP_BP6","Value","-8.46235396038824","-8.5566514193205","-8.73918674826056","-8.47888659587665","-7.90909296147308","-11.7698099977146","-15.0148934463763","-8.46580050855792","-47.4565114589982","-26.9188006083833","-12.1663521353138","",
"Philippines","566","Consumer Prices, period average, percent change","PCPI_PCH","Value","2.5916870415648","3.59389895138227","0.690162878439312","1.23377810272345","2.85275796695855","5.3102782410252","2.39206534422404","2.3931623931624","3.92718022100325","5.82115811213954","6.3369742512621","",
"Mongolia","948","Consumer Prices, end of period, percent change","PCPIE_PCH","Value","12","11.5714285714286","2.04865556978234","1.25470514429109","6.31970260223048","8.15850815850816","5.28017241379311","2.55885363357216","13.8722554890219","13.2340052585451","9.5","",
"Bhutan","514","Consumer Prices, period average, percent change","PCPI_PCH","Value","8.10901142742925","9.59942410919364","6.67056068148853","3.28086973015445","4.31419765142066","3.66058767573823","2.82123947984898","3.03913854723308","8.21533222944034","5.93743635789849","5.59152502352638","",
"Malaysia","548","Consumer Prices, period average, percent change","PCPI_PCH","Value","2.10501231233681","3.1429905087904","2.10438980238348","2.07579227302979","3.79939209726444","0.969113853447388","0.662891865764397","-1.13870215393031","2.47710241465446","3.37869862549908","2.88897656610009","",
"Australia","193","Unemployment rate","LUR","Value","5.65833333333333","6.05833333333334","6.05","5.70833333333333","5.58333333333333","5.29166666666667","5.19166666666667","6.49166666666667","5.1","3.70833333333333","3.96085498649543","",
