"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Metadata Attribute","Metadata Value","Frequency"
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Gross domestic product, constant prices, purchasing power parity, per capita, percent change","NGDP_R_PPP_PC_PCH","Indicator Concept","",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Gross domestic product, constant prices, purchasing power parity, per capita, percent change","NGDP_R_PPP_PC_PCH","Indicator CTS Code","NGDP_R_PPP_PC_PCH",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Gross domestic product, constant prices, purchasing power parity, per capita, percent change","NGDP_R_PPP_PC_PCH","Indicator Definition","",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Gross domestic product, constant prices, purchasing power parity, per capita, percent change","NGDP_R_PPP_PC_PCH","Indicator Full Name","Gross domestic product, constant prices, purchasing power parity, per capita, percent change ",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Gross domestic product, constant prices, purchasing power parity, per capita, percent change","NGDP_R_PPP_PC_PCH","Indicator Name","Gross domestic product, constant prices, purchasing power parity, per capita, percent change",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Gross domestic product, constant prices, purchasing power parity, per capita, percent change","NGDP_R_PPP_PC_PCH","Indicator SDMX Code","NGDP_R_PPP_PC_PCH",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Gross domestic product, constant prices, purchasing power parity, per capita, percent change","NGDP_R_PPP_PC_PCH","Indicator SDMX Name","Gross domestic product, constant prices, purchasing power parity, per capita, percent change ",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Gross domestic product, constant prices, purchasing power parity, per capita, percent change","NGDP_R_PPP_PC_PCH","Indicator Short Name","Gross domestic product, constant prices, purchasing power parity, per capita, percent change ",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Gross domestic product, constant prices, purchasing power parity, per capita, percent change","NGDP_R_PPP_PC_PCH","Indicator Source Code","NGDP_R_PPP_PC_PCH",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Gross domestic product, constant prices, purchasing power parity, per capita, percent change","NGDP_R_PPP_PC_PCH","Indicator Source Code - Collection","Gross domestic product, constant prices, purchasing power parity, per capita, percent change ",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Gross domestic product, constant prices, purchasing power parity, per capita, percent change","NGDP_R_PPP_PC_PCH","Indicator Source Code - Dissemination","Gross domestic product, constant prices, purchasing power parity, per capita, percent change ",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Gross domestic product, constant prices, purchasing power parity, per capita, percent change","NGDP_R_PPP_PC_PCH","Indicator Source Code - EDD","Gross domestic product, constant prices, purchasing power parity, per capita, percent change ",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Unemployment rate","LUR","Indicator Alternate Publication Codes","",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Unemployment rate","LUR","Indicator APDREO Code","LUR.A",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Unemployment rate","LUR","Indicator APDREO Name","",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Unemployment rate","LUR","Indicator Code","LUR",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Unemployment rate","LUR","Indicator Concept","",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Unemployment rate","LUR","Indicator CTS Code","LUR",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Unemployment rate","LUR","Indicator Definition","",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Unemployment rate","LUR","Indicator Full Name","Unemployment rate",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Unemployment rate","LUR","Indicator Name","Unemployment rate",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Unemployment rate","LUR","Indicator SDMX Code","LUR",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Unemployment rate","LUR","Indicator SDMX Name","Unemployment rate",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Unemployment rate","LUR","Indicator Short Name","Unemployment rate",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Unemployment rate","LUR","Indicator Source Code","LUR",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Unemployment rate","LUR","Indicator Source Code - Collection","Unemployment rate",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Unemployment rate","LUR","Indicator Source Code - Dissemination","Unemployment rate",""
"Asia and Pacific Regional Economic Outlook (APDREO)","APDREO","","","Unemployment rate","LUR","Indicator Source Code - EDD","Unemployment rate",""
